Time,x_d,y_d,theta_d,v_r_d,v_l_d
4.303586,0.39208,-0.099845,-0.611999,0.019448,0.139342
4.353628,0.39531,-0.10214,-0.623399,0.018184,0.139768
4.40367,0.398497,-0.104459,-0.634959,0.016917,0.140205
4.453711,0.40164,-0.106803,-0.64668,0.015647,0.140654
4.503753,0.404739,-0.109172,-0.658565,0.014375,0.141114
4.553795,0.407794,-0.111565,-0.670614,0.013103,0.141585
4.603837,0.410804,-0.113983,-0.682827,0.011831,0.142065
4.653878,0.413768,-0.116424,-0.695207,0.010561,0.142556
4.70392,0.416688,-0.118891,-0.707753,0.009295,0.143055
4.753962,0.419561,-0.121381,-0.720466,0.008033,0.143562
4.804003,0.422388,-0.123895,-0.733346,0.006777,0.144077
4.854045,0.425169,-0.126434,-0.746393,0.005529,0.144598
4.904087,0.427904,-0.128996,-0.759607,0.004291,0.145125
4.954128,0.430591,-0.131583,-0.772987,0.003063,0.145656
5.00417,0.433231,-0.134193,-0.786533,0.001849,0.146191
5.054212,0.435823,-0.136827,-0.800244,0.000649,0.146729
5.104254,0.438368,-0.139485,-0.814118,-0.000534,0.147268
5.154295,0.440864,-0.142166,-0.828154,-0.001698,0.147808
5.204337,0.443312,-0.144871,-0.84235,-0.002842,0.148347
5.254379,0.445711,-0.1476,-0.856703,-0.003963,0.148883
5.30442,0.448062,-0.150351,-0.871212,-0.00506,0.149415
5.354462,0.450363,-0.153126,-0.885873,-0.006129,0.149943
5.404504,0.452614,-0.155925,-0.900683,-0.00717,0.150464
5.454545,0.454816,-0.158746,-0.915638,-0.008179,0.150977
5.504587,0.456968,-0.161591,-0.930736,-0.009155,0.15148
5.554629,0.45907,-0.164459,-0.945971,-0.010095,0.151973
5.604671,0.461121,-0.16735,-0.961339,-0.010997,0.152453
5.654712,0.463122,-0.170263,-0.976834,-0.01186,0.152919
5.704754,0.465071,-0.173199,-0.992453,-0.01268,0.153369
5.754796,0.46697,-0.176158,-1.008189,-0.013456,0.153802
5.804837,0.468817,-0.17914,-1.024035,-0.014185,0.154217
5.854879,0.470613,-0.182144,-1.039987,-0.014866,0.154611
5.904921,0.472357,-0.185171,-1.056036,-0.015496,0.154985
5.954962,0.47405,-0.18822,-1.072177,-0.016074,0.155335
6.005004,0.47569,-0.191291,-1.088402,-0.016599,0.155662
6.055046,0.477278,-0.194385,-1.104704,-0.017067,0.155963
6.105088,0.478813,-0.1975,-1.121074,-0.017478,0.156238
6.155129,0.480296,-0.200638,-1.137505,-0.017831,0.156486
